category,path,status,sha256,note
hardware,comparison/ila_reference/results/step6/step6_status.rpt,VERIFIED,7b96208ef9761a54ba51a592ec4e9b9e8717a6578f130011b776038c414afbd2,Basys 3 function-test status
normalization,comparison/ila_reference/results/step7/step7_status.rpt,VERIFIED,a0c93a469b6ca635f0532e894673967eb7d828497df7951174b93d73bfb47377,common CSV schema status
pulse_stress,comparison/ila_reference/results/step8/step8_status.rpt,VERIFIED,1c1337a9538da0d2939a000b6a1325409bbe4593d8901935832e4e3c26923277,60-trial pulse stress status
resource_timing,comparison/ila_reference/results/step9/step9_status.rpt,PASS_WITH_TEAM_INPUT_PENDING,5e8f1b5c4f52137e928077206efb6f2198b6c108931a2a81328b086865bb799c,whole-routed comparison gate
github,comparison/ila_reference/results/step10/github_remote_tests.rpt,VERIFIED,f9f573986792d847f9ee616df2e7d19f6f191518f04d05c1543fee8cf8609292,remote main tests at c95d1b7674154f5ae898657942972a0d1620aaf2
checksum_manifest,comparison/ila_reference/generated/ila_reference_step5_SHA256SUMS,VERIFIED,6bda02ddcc20d13e0a70d4fb15435cfe7739937d702c5c493e54cd3882a7c272,17 indexed files
checksum_manifest,comparison/ila_reference/build/step6/SHA256SUMS,VERIFIED,bb1c97eb32b88531786eeaef844bf56126e4cdc830339bf9d8b29078396723e2,5 indexed files
checksum_manifest,comparison/ila_reference/results/step6/SHA256SUMS,VERIFIED,04f9334472626ec86616dac45888f200dd72dcf97b7f8f32732e625804df89f9,21 indexed files
checksum_manifest,comparison/ila_reference/results/step7/SHA256SUMS,VERIFIED,c9ce79ea68f4ce65a0eff449884f9beac2c5ff99cd7932a0d6962543df16bc4f,6 indexed files
checksum_manifest,comparison/ila_reference/results/step8/SHA256SUMS,VERIFIED,a30d18351d05a7997a071ddf0fe321230018cb50e7c9f8f6147245cafed463c7,247 indexed files
checksum_manifest,comparison/ila_reference/results/step9/SHA256SUMS,VERIFIED,621548c75fa7d3e2dc00a070f95c9d6f07f23be2172746e9993fb3056956b30c,9 indexed files
