index,value_hex,is_trigger,ch7,ch6,ch5,ch4,ch3,ch2,ch1,ch0
0,95,0,1,0,0,1,0,1,0,1
1,95,0,1,0,0,1,0,1,0,1
2,95,0,1,0,0,1,0,1,0,1
3,95,0,1,0,0,1,0,1,0,1
4,95,0,1,0,0,1,0,1,0,1
5,95,0,1,0,0,1,0,1,0,1
6,95,0,1,0,0,1,0,1,0,1
7,95,0,1,0,0,1,0,1,0,1
8,95,0,1,0,0,1,0,1,0,1
9,95,0,1,0,0,1,0,1,0,1
10,95,0,1,0,0,1,0,1,0,1
11,95,0,1,0,0,1,0,1,0,1
12,95,0,1,0,0,1,0,1,0,1
13,95,0,1,0,0,1,0,1,0,1
14,95,0,1,0,0,1,0,1,0,1
15,95,0,1,0,0,1,0,1,0,1
16,95,0,1,0,0,1,0,1,0,1
17,95,0,1,0,0,1,0,1,0,1
18,95,0,1,0,0,1,0,1,0,1
19,95,0,1,0,0,1,0,1,0,1
20,95,0,1,0,0,1,0,1,0,1
21,95,0,1,0,0,1,0,1,0,1
22,95,0,1,0,0,1,0,1,0,1
23,95,0,1,0,0,1,0,1,0,1
24,95,0,1,0,0,1,0,1,0,1
25,95,0,1,0,0,1,0,1,0,1
26,95,0,1,0,0,1,0,1,0,1
27,95,0,1,0,0,1,0,1,0,1
28,95,0,1,0,0,1,0,1,0,1
29,95,0,1,0,0,1,0,1,0,1
30,95,0,1,0,0,1,0,1,0,1
31,95,0,1,0,0,1,0,1,0,1
32,95,0,1,0,0,1,0,1,0,1
33,95,0,1,0,0,1,0,1,0,1
34,95,0,1,0,0,1,0,1,0,1
35,95,0,1,0,0,1,0,1,0,1
36,95,0,1,0,0,1,0,1,0,1
37,95,0,1,0,0,1,0,1,0,1
38,95,0,1,0,0,1,0,1,0,1
39,95,0,1,0,0,1,0,1,0,1
40,95,0,1,0,0,1,0,1,0,1
41,95,0,1,0,0,1,0,1,0,1
42,95,0,1,0,0,1,0,1,0,1
43,95,0,1,0,0,1,0,1,0,1
44,95,0,1,0,0,1,0,1,0,1
45,95,0,1,0,0,1,0,1,0,1
46,95,0,1,0,0,1,0,1,0,1
47,95,0,1,0,0,1,0,1,0,1
48,95,0,1,0,0,1,0,1,0,1
49,95,0,1,0,0,1,0,1,0,1
50,95,0,1,0,0,1,0,1,0,1
51,95,0,1,0,0,1,0,1,0,1
52,95,0,1,0,0,1,0,1,0,1
53,95,0,1,0,0,1,0,1,0,1
54,95,0,1,0,0,1,0,1,0,1
55,95,0,1,0,0,1,0,1,0,1
56,95,0,1,0,0,1,0,1,0,1
57,95,0,1,0,0,1,0,1,0,1
58,95,0,1,0,0,1,0,1,0,1
59,95,0,1,0,0,1,0,1,0,1
60,95,0,1,0,0,1,0,1,0,1
61,95,0,1,0,0,1,0,1,0,1
62,95,0,1,0,0,1,0,1,0,1
63,95,0,1,0,0,1,0,1,0,1
64,95,0,1,0,0,1,0,1,0,1
65,95,0,1,0,0,1,0,1,0,1
66,95,0,1,0,0,1,0,1,0,1
67,95,0,1,0,0,1,0,1,0,1
68,95,0,1,0,0,1,0,1,0,1
69,95,0,1,0,0,1,0,1,0,1
70,95,0,1,0,0,1,0,1,0,1
71,95,0,1,0,0,1,0,1,0,1
72,95,0,1,0,0,1,0,1,0,1
73,95,0,1,0,0,1,0,1,0,1
74,95,0,1,0,0,1,0,1,0,1
75,95,0,1,0,0,1,0,1,0,1
76,95,0,1,0,0,1,0,1,0,1
77,95,0,1,0,0,1,0,1,0,1
78,95,0,1,0,0,1,0,1,0,1
79,95,0,1,0,0,1,0,1,0,1
80,95,0,1,0,0,1,0,1,0,1
81,95,0,1,0,0,1,0,1,0,1
82,95,0,1,0,0,1,0,1,0,1
83,95,0,1,0,0,1,0,1,0,1
84,95,0,1,0,0,1,0,1,0,1
85,95,0,1,0,0,1,0,1,0,1
86,95,0,1,0,0,1,0,1,0,1
87,95,0,1,0,0,1,0,1,0,1
