Sample in Buffer,Sample in Window,TRIGGER,base_soc_i/test_pattern_generator_0_probe_test_o[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,01
1,1,0,01
2,2,0,01
3,3,0,01
4,4,0,01
5,5,0,01
6,6,0,01
7,7,0,01
8,8,0,01
9,9,0,01
10,10,0,01
11,11,0,01
12,12,0,01
13,13,0,01
14,14,0,01
15,15,0,01
16,16,0,01
17,17,0,01
18,18,0,01
19,19,0,01
20,20,0,01
21,21,0,01
22,22,0,01
23,23,0,01
24,24,0,01
25,25,0,01
26,26,0,01
27,27,0,01
28,28,0,01
29,29,0,01
30,30,0,01
31,31,0,01
32,32,0,01
33,33,0,01
34,34,0,01
35,35,0,01
36,36,0,01
37,37,0,01
38,38,0,01
39,39,0,01
40,40,0,01
41,41,0,01
42,42,0,01
43,43,0,01
44,44,0,01
45,45,0,01
46,46,0,01
47,47,0,01
48,48,0,01
49,49,0,01
50,50,0,01
51,51,0,01
52,52,0,01
53,53,0,01
54,54,0,01
55,55,0,01
56,56,0,01
57,57,0,01
58,58,0,01
59,59,0,01
60,60,0,01
61,61,0,01
62,62,0,01
63,63,0,01
64,64,0,01
65,65,0,01
66,66,0,01
67,67,0,01
68,68,0,01
69,69,0,01
70,70,0,01
71,71,0,01
72,72,0,01
73,73,0,01
74,74,0,01
75,75,0,01
76,76,0,01
77,77,0,01
78,78,0,01
79,79,0,01
80,80,0,01
81,81,0,01
82,82,0,01
83,83,0,01
84,84,0,01
85,85,0,01
86,86,0,01
87,87,0,01
88,88,0,01
89,89,0,01
90,90,0,01
91,91,0,01
92,92,0,01
93,93,0,01
94,94,0,01
95,95,0,01
96,96,0,01
97,97,0,01
98,98,0,01
99,99,0,01
100,100,0,01
101,101,0,01
102,102,0,01
103,103,0,01
104,104,0,01
105,105,0,01
106,106,0,01
107,107,0,01
108,108,0,01
109,109,0,01
110,110,0,01
111,111,0,01
112,112,0,01
113,113,0,01
114,114,0,01
115,115,0,01
116,116,0,01
117,117,0,01
118,118,0,01
119,119,0,01
120,120,0,01
121,121,0,01
122,122,0,01
123,123,0,01
124,124,0,01
125,125,0,01
126,126,0,01
127,127,0,01
128,128,0,01
129,129,0,01
130,130,0,01
131,131,0,01
132,132,0,01
133,133,0,01
134,134,0,01
135,135,0,01
136,136,0,01
137,137,0,01
138,138,0,01
139,139,0,01
140,140,0,01
141,141,0,01
142,142,0,01
143,143,0,01
144,144,0,01
145,145,0,01
146,146,0,01
147,147,0,01
148,148,0,01
149,149,0,01
150,150,0,01
